Date;CAC 40;SP500
14.04.2014;4384.560059;1872.180054
11.04.2014;4365.859863;1851.959961
10.04.2014;4413.490234;1845.040039
09.04.2014;4442.680176;1865.089966
08.04.2014;4424.830078;1888.77002
07.04.2014;4436.080078;1890.900024
04.04.2014;4484.549805;1885.52002
03.04.2014;4449.330078;1872.339966
02.04.2014;4430.859863;1857.619995
01.04.2014;4426.720215;1849.040039
31.03.2014;4391.5;1852.560059
28.03.2014;4411.259766;1865.619995
27.03.2014;4379.060059;1857.439941
26.03.2014;4385.149902;1866.52002
25.03.2014;4344.120117;1872.01001
24.03.2014;4276.339844;1860.77002
21.03.2014;4335.279785;1872.25
20.03.2014;4327.910156;1858.829956
19.03.2014;4308.060059;1841.130005
18.03.2014;4313.259766;1846.339966
17.03.2014;4271.959961;1868.199951
14.03.2014;4216.370117;1867.630005
13.03.2014;4250.509766;1877.170044
12.03.2014;4306.259766;1878.040039
11.03.2014;4349.720215;1877.030029
10.03.2014;4370.839844;1873.810059
07.03.2014;4366.419922;1873.910034
06.03.2014;4417.040039;1845.72998
05.03.2014;4391.25;1859.449951
04.03.2014;4395.899902;1854.290039
03.03.2014;4290.870117;1845.160034
28.02.2014;4408.080078;1845.119995
27.02.2014;4396.390137;1847.609985
26.02.2014;4396.910156;1836.25
25.02.2014;4414.549805;1839.780029
24.02.2014;4419.129883;1828.75
21.02.2014;4381.060059;1840.76001
20.02.2014;4355.490234;1838.630005
19.02.2014;4341.100098;1829.829956
18.02.2014;4330.709961;1819.26001
17.02.2014;4335.169922;1819.75
14.02.2014;4340.140137;1799.839966
13.02.2014;4312.799805;1797.02002
12.02.2014;4305.5;1773.430054
11.02.2014;4283.319824;1751.640015
10.02.2014;4237.129883;1755.199951
07.02.2014;4228.180176;1741.890015
06.02.2014;4188.100098;1782.589966
05.02.2014;4117.790039;1794.189941
04.02.2014;4117.450195;1774.199951
03.02.2014;4107.75;1792.5
31.01.2014;4165.720215;1781.560059
30.01.2014;4180.02002;1790.290039
29.01.2014;4156.97998;1828.459961
28.01.2014;4185.290039;1844.859985
27.01.2014;4144.560059;1843.800049
24.01.2014;4161.470215;1838.699951
23.01.2014;4280.959961;1845.890015
22.01.2014;4324.97998;1848.380005
21.01.2014;4323.870117;1838.880005
20.01.2014;4322.859863;1819.199951
17.01.2014;4327.5;1842.369995
16.01.2014;4319.27002;1838.130005
15.01.2014;4332.069824;1837.48999
14.01.2014;4274.200195;1837.880005
13.01.2014;4263.27002;1826.77002
10.01.2014;4250.600098;1831.369995
09.01.2014;4225.140137;1831.97998
08.01.2014;4260.959961;1848.359985
07.01.2014;4262.680176;1841.069946
06.01.2014;4227.540039;1841.400024
03.01.2014;4247.649902;1842.02002
02.01.2014;4227.279785;1833.319946
31.12.2013;4295.950195;1827.98999
30.12.2013;4275.709961;1818.319946
27.12.2013;4277.649902;1809.599976
24.12.2013;4218.410156;1810.650024
23.12.2013;4215.290039;1781
20.12.2013;4193.77002;1786.540039
19.12.2013;4154.27002;1775.319946
18.12.2013;4109.509766;1775.5
17.12.2013;4068.639893;1782.219971
16.12.2013;4119.879883;1802.619995
13.12.2013;4059.709961;1808.369995
12.12.2013;4069.120117;1805.089966
11.12.2013;4086.860107;1785.030029
