Date,DAX,CAC40
13.12.2013,9084.950195,4059.709961
12.12.2013,9140.629883,4069.120117
11.12.2013,9223.400391,4086.860107
10.12.2013,9401.959961,4091.139893
09.12.2013,9405.299805,4134.100098
06.12.2013,9387.370117,4129.370117
05.12.2013,9351.129883,4099.910156
04.12.2013,9290.070312,4148.52002
03.12.2013,9299.950195,4172.439941
02.12.2013,9219.040039,4285.810059
29.11.2013,9196.080078,4295.209961
28.11.2013,9202.070312,4302.419922
27.11.2013,9193.290039,4293.060059
26.11.2013,9225.429688,4277.569824
25.11.2013,9168.69043,4301.970215
22.11.2013,9149.660156,4278.529785
21.11.2013,9054.830078,4253.899902
20.11.2013,9076.480469,4268.370117
19.11.2013,9107.860352,4272.290039
18.11.2013,9078.280273,4320.680176
15.11.2013,9081.030273,4292.22998
14.11.2013,9040.870117,4283.910156
13.11.2013,9009.110352,4239.939941
12.11.2013,9037.230469,4263.779785
11.11.2013,9007.830078,4290.140137
08.11.2013,9033.919922,4260.439941
07.11.2013,9010.269531,4280.990234
06.11.2013,9022.040039,4286.930176
05.11.2013,8978.650391,4253.339844
04.11.2013,8985.740234,4288.589844
01.11.2013,8980.629883,4273.189941
31.10.2013,8919.860352,4299.890137
30.10.2013,8947.459961,4274.109863
29.10.2013,8867.219727,4278.089844
28.10.2013,8865.099609,4251.609863
25.10.2013,8811.980469,4272.310059
24.10.2013,8846,4275.689941
23.10.2013,8804.44043,4260.660156
22.10.2013,8723.80957,4295.430176
21.10.2013,8724.830078,4276.919922
18.10.2013,8685.769531,4286.029785
17.10.2013,8516.69043,4239.640137
16.10.2013,8555.889648,4243.720215
15.10.2013,8591.580078,4256.02002
14.10.2013,8622.969727,4222.959961
11.10.2013,8597.910156,4219.97998
10.10.2013,8629.419922,4218.109863
09.10.2013,8689.139648,4127.049805
08.10.2013,8594.400391,4133.529785
07.10.2013,8661.509766,4165.580078
04.10.2013,8664.099609,4164.25
03.10.2013,8665.629883,4127.97998
02.10.2013,8664.599609,4158.160156
01.10.2013,8635.290039,4196.600098
30.09.2013,8675.730469,4143.439941
27.09.2013,8694.179688,4186.77002
26.09.2013,8636.05957,4186.720215
25.09.2013,8596.950195,4195.350098
24.09.2013,8613,4195.609863
23.09.2013,8509.419922,4172.080078
20.09.2013,8494,4203.660156
19.09.2013,8495.730469,4206.040039
18.09.2013,8446.540039,4170.399902
17.09.2013,8276.320312,4145.509766
16.09.2013,8275.669922,4152.220215
13.09.2013,8234.980469,4114.5
12.09.2013,8195.919922,4106.629883
11.09.2013,8180.709961,4119.109863
10.09.2013,8243.870117,4116.640137
09.09.2013,8103.149902,4040.330078
06.09.2013,8194.549805,4049.189941
05.09.2013,8157.899902,4006.800049
04.09.2013,8242.55957,3980.419922
03.09.2013,8435.150391,3974.070068
02.09.2013,8416.990234,4006.01001
30.08.2013,8397.889648,3933.780029
