Time,Code,Y,FSANL,FSCD,FSEIM,FSERA
2009,"Korea,_Republic_of",3.86,0.584500589,79.6709792,80.92516641,0.580804811
2009,Malaysia,5.04,3.626565493,,57.68863555,1.248102153
2009,Philippines,4.73,3.489474948,157.2660669,65.30913549,1.400033988
2009,Singapore,4.96,2.034384342,126.1658872,67.27996022,1.251483849
2009,Kazakhstan,3.94,18.92340541,77.234721,90.81263081,-6.908129299
2009,Bulgaria,3.49,6.422933859,82.98467991,74.78846026,1.081376866
2009,Russian_Federation,2.34,9.531627659,67.23517997,45.17817992,0.720089549
2009,Ukraine,1.89,13.69777132,45.27227745,66.76118944,-4.384859404
2009,Czech_Republic,4.11,4.577953083,128.2140673,55.78522426,1.449369279
2009,Slovak_Republic,4.1,5.293444237,116.1095879,76.81149516,0.588071362
2009,Estonia,2.96,5.202311417,59.37127121,42.28566483,-2.764333097
2009,Hungary,2.41,6.704509972,,66.79955244,0.639474572
2009,Lithuania,4.6,23.99007563,66.03730627,100.4482905,-4.522353358
2009,Croatia,2.03,7.659951764,78.11795989,56.73251309,2.400534267
2009,Slovenia,4.63,5.791233267,,61.30529322,0.156384556
2009,Poland,3.43,4.287723762,89.31421913,51.85885262,0.795832092
2009,Romania,3.48,7.891844259,88.65317536,44.09771635,0.249258973
2010,United_States,3.94,4.387743094,126.132889,63.55421704,0.23029978
2010,United_Kingdom,3.17,3.954833788,106.2197627,50.43169425,0.316476488
2010,Austria,5.46,2.830717152,75.27211518,67.3707391,0.458725657
2010,Belgium,3.48,2.832933559,100.9375044,58.70649021,0.4923115
2010,Denmark,5.22,4.068636311,30.61807322,75.93768966,-0.001948834
2010,France,4.43,3.758573893,76.76320576,43.37543078,0.586168185
2010,Germany,5.14,3.2,73.59798063,73.16561845,0.373957321
2010,Italy,4.17,10.02783707,63.22284718,57.54384658,0.289828037
2010,Luxembourg,4.87,0.247232603,131.4091339,30.72972973,0.678519431
2010,Netherlands,5.2,2.832348698,,71.11577411,0.37619393
2010,Norway,6.11,1.519813652,,39.47690439,1.030734989
2010,Sweden,5.75,0.78356326,,57.07239136,0.626942283
2010,Switzerland,6.27,0.856716465,97.31274266,27.8726676,0.697683437
2010,Canada,5.55,1.192180558,114.0657314,48.62784383,1.054398087
2010,Japan,3.78,2.456502532,130.4051019,67.19739488,0.399923132
2010,Finland,4.02,,64.94656066,42.94083187,0.530290939
2010,Greece,3.23,9.117344332,96.3206945,85.00495004,-0.000763164
2010,Ireland,2.36,12.46665251,,-294.3447861,-2.701846013
2010,Portugal,2.41,5.194113255,60.35265393,52.28909693,0.479406187
2010,Spain,2.44,4.668372132,78.45329772,63.98639746,0.530479778
2010,Turkey,4.87,3.489591585,109.4623921,62.48974793,3.083485311
2010,Australia,7.04,2.159673003,,54.77991206,1.149917032
2010,South_Africa,4.7,,,,
2010,Argentina,4.51,2.117022874,163.9084101,33.47724555,3.979230714
2010,Brazil,5.51,3.107724172,118.4088445,78.50348621,1.887033578
2010,Peru,4.86,3.027006014,103.1877398,83.70684366,2.330004208
2010,Israel,7.13,,104.6966945,63.50313824,0.908854618
2010,"China,_P.R.:_Hong_Kong",5.4,0.83,,44.01,0.87
2010,Indonesia,5.64,2.531875608,122.5709827,60.47521826,2.742131097
2010,"Korea,_Republic_of",5.55,0.588001423,71.88604201,73.0856102,0.710003535
2010,Malaysia,6.63,3.354026707,,59.8193114,1.537011119
2010,Philippines,5.5,3.380743405,161.553343,61.92731683,1.652363678
2010,Singapore,5.78,1.406354258,120.4630434,58.48452508,1.393433618
2010,Kazakhstan,4.42,20.93062364,79.40210072,38.02293157,2.70598592
2010,Bulgaria,2.43,11.91770876,87.80475166,74.11983239,0.839779204
2010,Russian_Federation,1.94,8.234320927,72.37043669,47.01403622,2.037041493
2010,"China,_P.R.:_Mainland",6.02,1.132370451,,82.53199949,1.125760475
2010,Ukraine,2.69,15.26651177,56.01484772,65.98105885,-1.397339317
2010,Czech_Republic,4.36,5.386066668,129.6128276,63.1170821,1.252741187
2010,Slovak_Republic,3.08,5.836314157,116.6433525,75.94706782,1.233588586
2010,Estonia,4.79,5.375486401,66.99565591,54.50850693,0.344248419
2010,Hungary,3,9.81364929,,71.64749123,0.035246192
2010,Lithuania,3.2,23.3337719,80.95849281,76.1090623,-0.367994659
2010,Croatia,1.93,11.0922699,79.99153865,64.3250475,2.322522537
2010,Slovenia,3.41,8.214183887,,63.60213841,-0.247677312
2010,Poland,5.8,4.912422601,87.33524136,53.00490229,1.03289466
2010,Romania,4.03,11.8538635,84.77801001,60.60612776,-0.158272038
